challenge,deltas
00000000,"15.849773,15.849773,15.849773,15.849773,15.849773,15.849773,15.849773,15.849773,15.849773,15.849773"
00000001,"10.288045,10.288045,10.288045,10.288045,10.288045,10.288045,10.288045,10.288045,10.288045,10.288045"
00000010,"14.548416,14.548416,14.548416,14.548416,14.548416,14.548416,14.548416,14.548416,14.548416,14.548416"
00000011,"8.986687,8.986687,8.986687,8.986687,8.986687,8.986687,8.986687,8.986687,8.986687,8.986687"
00000100,"5.528593,5.528593,5.528593,5.528593,5.528593,5.528593,5.528593,5.528593,5.528593,5.528593"
00000101,"-0.033135,-0.033135,-0.033135,-0.033135,-0.033135,-0.033135,-0.033135,-0.033135,-0.033135,-0.033135"
00000110,"4.227235,4.227235,4.227235,4.227235,4.227235,4.227235,4.227235,4.227235,4.227235,4.227235"
00000111,"-1.334493,-1.334493,-1.334493,-1.334493,-1.334493,-1.334493,-1.334493,-1.334493,-1.334493,-1.334493"
00001000,"14.955631,14.955631,14.955631,14.955631,14.955631,14.955631,14.955631,14.955631,14.955631,14.955631"
00001001,"9.393903,9.393903,9.393903,9.393903,9.393903,9.393903,9.393903,9.393903,9.393903,9.393903"
00001010,"13.654274,13.654274,13.654274,13.654274,13.654274,13.654274,13.654274,13.654274,13.654274,13.654274"
00001011,"8.092546,8.092546,8.092546,8.092546,8.092546,8.092546,8.092546,8.092546,8.092546,8.092546"
00001100,"4.634451,4.634451,4.634451,4.634451,4.634451,4.634451,4.634451,4.634451,4.634451,4.634451"
00001101,"-0.927277,-0.927277,-0.927277,-0.927277,-0.927277,-0.927277,-0.927277,-0.927277,-0.927277,-0.927277"
00001110,"3.333094,3.333094,3.333094,3.333094,3.333094,3.333094,3.333094,3.333094,3.333094,3.333094"
00001111,"-2.228635,-2.228635,-2.228635,-2.228635,-2.228635,-2.228635,-2.228635,-2.228635,-2.228635,-2.228635"
00010000,"7.572462,7.572462,7.572462,7.572462,7.572462,7.572462,7.572462,7.572462,7.572462,7.572462"
00010001,"2.010733,2.010733,2.010733,2.010733,2.010733,2.010733,2.010733,2.010733,2.010733,2.010733"
00010010,"6.271104,6.271104,6.271104,6.271104,6.271104,6.271104,6.271104,6.271104,6.271104,6.271104"
00010011,"0.709376,0.709376,0.709376,0.709376,0.709376,0.709376,0.709376,0.709376,0.709376,0.709376"
00010100,"-2.748719,-2.748719,-2.748719,-2.748719,-2.748719,-2.748719,-2.748719,-2.748719,-2.748719,-2.748719"
00010101,"-8.310447,-8.310447,-8.310447,-8.310447,-8.310447,-8.310447,-8.310447,-8.310447,-8.310447,-8.310447"
00010110,"-4.050076,-4.050076,-4.050076,-4.050076,-4.050076,-4.050076,-4.050076,-4.050076,-4.050076,-4.050076"
00010111,"-9.611804,-9.611804,-9.611804,-9.611804,-9.611804,-9.611804,-9.611804,-9.611804,-9.611804,-9.611804"
00011000,"6.678320,6.678320,6.678320,6.678320,6.678320,6.678320,6.678320,6.678320,6.678320,6.678320"
00011001,"1.116592,1.116592,1.116592,1.116592,1.116592,1.116592,1.116592,1.116592,1.116592,1.116592"
00011010,"5.376962,5.376962,5.376962,5.376962,5.376962,5.376962,5.376962,5.376962,5.376962,5.376962"
00011011,"-0.184766,-0.184766,-0.184766,-0.184766,-0.184766,-0.184766,-0.184766,-0.184766,-0.184766,-0.184766"
00011100,"-3.642860,-3.642860,-3.642860,-3.642860,-3.642860,-3.642860,-3.642860,-3.642860,-3.642860,-3.642860"
00011101,"-9.204589,-9.204589,-9.204589,-9.204589,-9.204589,-9.204589,-9.204589,-9.204589,-9.204589,-9.204589"
00011110,"-4.944218,-4.944218,-4.944218,-4.944218,-4.944218,-4.944218,-4.944218,-4.944218,-4.944218,-4.944218"
00011111,"-10.505946,-10.505946,-10.505946,-10.505946,-10.505946,-10.505946,-10.505946,-10.505946,-10.505946,-10.505946"
00100000,"10.472749,10.472749,10.472749,10.472749,10.472749,10.472749,10.472749,10.472749,10.472749,10.472749"
00100001,"4.911020,4.911020,4.911020,4.911020,4.911020,4.911020,4.911020,4.911020,4.911020,4.911020"
00100010,"9.171391,9.171391,9.171391,9.171391,9.171391,9.171391,9.171391,9.171391,9.171391,9.171391"
00100011,"3.609663,3.609663,3.609663,3.609663,3.609663,3.609663,3.609663,3.609663,3.609663,3.609663"
00100100,"0.151568,0.151568,0.151568,0.151568,0.151568,0.151568,0.151568,0.151568,0.151568,0.151568"
00100101,"-5.410160,-5.410160,-5.410160,-5.410160,-5.410160,-5.410160,-5.410160,-5.410160,-5.410160,-5.410160"
00100110,"-1.149789,-1.149789,-1.149789,-1.149789,-1.149789,-1.149789,-1.149789,-1.149789,-1.149789,-1.149789"
00100111,"-6.711517,-6.711517,-6.711517,-6.711517,-6.711517,-6.711517,-6.711517,-6.711517,-6.711517,-6.711517"
00101000,"9.578607,9.578607,9.578607,9.578607,9.578607,9.578607,9.578607,9.578607,9.578607,9.578607"
00101001,"4.016879,4.016879,4.016879,4.016879,4.016879,4.016879,4.016879,4.016879,4.016879,4.016879"
00101010,"8.277249,8.277249,8.277249,8.277249,8.277249,8.277249,8.277249,8.277249,8.277249,8.277249"
00101011,"2.715521,2.715521,2.715521,2.715521,2.715521,2.715521,2.715521,2.715521,2.715521,2.715521"
00101100,"-0.742573,-0.742573,-0.742573,-0.742573,-0.742573,-0.742573,-0.742573,-0.742573,-0.742573,-0.742573"
00101101,"-6.304302,-6.304302,-6.304302,-6.304302,-6.304302,-6.304302,-6.304302,-6.304302,-6.304302,-6.304302"
00101110,"-2.043931,-2.043931,-2.043931,-2.043931,-2.043931,-2.043931,-2.043931,-2.043931,-2.043931,-2.043931"
00101111,"-7.605659,-7.605659,-7.605659,-7.605659,-7.605659,-7.605659,-7.605659,-7.605659,-7.605659,-7.605659"
00110000,"2.195437,2.195437,2.195437,2.195437,2.195437,2.195437,2.195437,2.195437,2.195437,2.195437"
00110001,"-3.366291,-3.366291,-3.366291,-3.366291,-3.366291,-3.366291,-3.366291,-3.366291,-3.366291,-3.366291"
00110010,"0.894080,0.894080,0.894080,0.894080,0.894080,0.894080,0.894080,0.894080,0.894080,0.894080"
00110011,"-4.667649,-4.667649,-4.667649,-4.667649,-4.667649,-4.667649,-4.667649,-4.667649,-4.667649,-4.667649"
00110100,"-8.125743,-8.125743,-8.125743,-8.125743,-8.125743,-8.125743,-8.125743,-8.125743,-8.125743,-8.125743"
00110101,"-13.687471,-13.687471,-13.687471,-13.687471,-13.687471,-13.687471,-13.687471,-13.687471,-13.687471,-13.687471"
00110110,"-9.427100,-9.427100,-9.427100,-9.427100,-9.427100,-9.427100,-9.427100,-9.427100,-9.427100,-9.427100"
00110111,"-14.988829,-14.988829,-14.988829,-14.988829,-14.988829,-14.988829,-14.988829,-14.988829,-14.988829,-14.988829"
00111000,"1.301296,1.301296,1.301296,1.301296,1.301296,1.301296,1.301296,1.301296,1.301296,1.301296"
00111001,"-4.260433,-4.260433,-4.260433,-4.260433,-4.260433,-4.260433,-4.260433,-4.260433,-4.260433,-4.260433"
00111010,"-0.000062,-0.000062,-0.000062,-0.000062,-0.000062,-0.000062,-0.000062,-0.000062,-0.000062,-0.000062"
00111011,"-5.561790,-5.561790,-5.561790,-5.561790,-5.561790,-5.561790,-5.561790,-5.561790,-5.561790,-5.561790"
00111100,"-9.019885,-9.019885,-9.019885,-9.019885,-9.019885,-9.019885,-9.019885,-9.019885,-9.019885,-9.019885"
00111101,"-14.581613,-14.581613,-14.581613,-14.581613,-14.581613,-14.581613,-14.581613,-14.581613,-14.581613,-14.581613"
00111110,"-10.321242,-10.321242,-10.321242,-10.321242,-10.321242,-10.321242,-10.321242,-10.321242,-10.321242,-10.321242"
00111111,"-15.882970,-15.882970,-15.882970,-15.882970,-15.882970,-15.882970,-15.882970,-15.882970,-15.882970,-15.882970"
01000000,"13.945415,13.945415,13.945415,13.945415,13.945415,13.945415,13.945415,13.945415,13.945415,13.945415"
01000001,"8.383687,8.383687,8.383687,8.383687,8.383687,8.383687,8.383687,8.383687,8.383687,8.383687"
01000010,"12.644057,12.644057,12.644057,12.644057,12.644057,12.644057,12.644057,12.644057,12.644057,12.644057"
01000011,"7.082329,7.082329,7.082329,7.082329,7.082329,7.082329,7.082329,7.082329,7.082329,7.082329"
01000100,"3.624235,3.624235,3.624235,3.624235,3.624235,3.624235,3.624235,3.624235,3.624235,3.624235"
01000101,"-1.937494,-1.937494,-1.937494,-1.937494,-1.937494,-1.937494,-1.937494,-1.937494,-1.937494,-1.937494"
01000110,"2.322877,2.322877,2.322877,2.322877,2.322877,2.322877,2.322877,2.322877,2.322877,2.322877"
01000111,"-3.238851,-3.238851,-3.238851,-3.238851,-3.238851,-3.238851,-3.238851,-3.238851,-3.238851,-3.238851"
01001000,"13.051273,13.051273,13.051273,13.051273,13.051273,13.051273,13.051273,13.051273,13.051273,13.051273"
01001001,"7.489545,7.489545,7.489545,7.489545,7.489545,7.489545,7.489545,7.489545,7.489545,7.489545"
01001010,"11.749916,11.749916,11.749916,11.749916,11.749916,11.749916,11.749916,11.749916,11.749916,11.749916"
01001011,"6.188187,6.188187,6.188187,6.188187,6.188187,6.188187,6.188187,6.188187,6.188187,6.188187"
01001100,"2.730093,2.730093,2.730093,2.730093,2.730093,2.730093,2.730093,2.730093,2.730093,2.730093"
01001101,"-2.831635,-2.831635,-2.831635,-2.831635,-2.831635,-2.831635,-2.831635,-2.831635,-2.831635,-2.831635"
01001110,"1.428736,1.428736,1.428736,1.428736,1.428736,1.428736,1.428736,1.428736,1.428736,1.428736"
01001111,"-4.132993,-4.132993,-4.132993,-4.132993,-4.132993,-4.132993,-4.132993,-4.132993,-4.132993,-4.132993"
01010000,"5.668103,5.668103,5.668103,5.668103,5.668103,5.668103,5.668103,5.668103,5.668103,5.668103"
01010001,"0.106375,0.106375,0.106375,0.106375,0.106375,0.106375,0.106375,0.106375,0.106375,0.106375"
01010010,"4.366746,4.366746,4.366746,4.366746,4.366746,4.366746,4.366746,4.366746,4.366746,4.366746"
01010011,"-1.194982,-1.194982,-1.194982,-1.194982,-1.194982,-1.194982,-1.194982,-1.194982,-1.194982,-1.194982"
01010100,"-4.653077,-4.653077,-4.653077,-4.653077,-4.653077,-4.653077,-4.653077,-4.653077,-4.653077,-4.653077"
01010101,"-10.214805,-10.214805,-10.214805,-10.214805,-10.214805,-10.214805,-10.214805,-10.214805,-10.214805,-10.214805"
01010110,"-5.954434,-5.954434,-5.954434,-5.954434,-5.954434,-5.954434,-5.954434,-5.954434,-5.954434,-5.954434"
01010111,"-11.516162,-11.516162,-11.516162,-11.516162,-11.516162,-11.516162,-11.516162,-11.516162,-11.516162,-11.516162"
01011000,"4.773962,4.773962,4.773962,4.773962,4.773962,4.773962,4.773962,4.773962,4.773962,4.773962"
01011001,"-0.787767,-0.787767,-0.787767,-0.787767,-0.787767,-0.787767,-0.787767,-0.787767,-0.787767,-0.787767"
01011010,"3.472604,3.472604,3.472604,3.472604,3.472604,3.472604,3.472604,3.472604,3.472604,3.472604"
01011011,"-2.089124,-2.089124,-2.089124,-2.089124,-2.089124,-2.089124,-2.089124,-2.089124,-2.089124,-2.089124"
01011100,"-5.547218,-5.547218,-5.547218,-5.547218,-5.547218,-5.547218,-5.547218,-5.547218,-5.547218,-5.547218"
01011101,"-11.108947,-11.108947,-11.108947,-11.108947,-11.108947,-11.108947,-11.108947,-11.108947,-11.108947,-11.108947"
01011110,"-6.848576,-6.848576,-6.848576,-6.848576,-6.848576,-6.848576,-6.848576,-6.848576,-6.848576,-6.848576"
01011111,"-12.410304,-12.410304,-12.410304,-12.410304,-12.410304,-12.410304,-12.410304,-12.410304,-12.410304,-12.410304"
01100000,"8.568390,8.568390,8.568390,8.568390,8.568390,8.568390,8.568390,8.568390,8.568390,8.568390"
01100001,"3.006662,3.006662,3.006662,3.006662,3.006662,3.006662,3.006662,3.006662,3.006662,3.006662"
01100010,"7.267033,7.267033,7.267033,7.267033,7.267033,7.267033,7.267033,7.267033,7.267033,7.267033"
01100011,"1.705305,1.705305,1.705305,1.705305,1.705305,1.705305,1.705305,1.705305,1.705305,1.705305"
01100100,"-1.752790,-1.752790,-1.752790,-1.752790,-1.752790,-1.752790,-1.752790,-1.752790,-1.752790,-1.752790"
01100101,"-7.314518,-7.314518,-7.314518,-7.314518,-7.314518,-7.314518,-7.314518,-7.314518,-7.314518,-7.314518"
01100110,"-3.054147,-3.054147,-3.054147,-3.054147,-3.054147,-3.054147,-3.054147,-3.054147,-3.054147,-3.054147"
01100111,"-8.615875,-8.615875,-8.615875,-8.615875,-8.615875,-8.615875,-8.615875,-8.615875,-8.615875,-8.615875"
01101000,"7.674249,7.674249,7.674249,7.674249,7.674249,7.674249,7.674249,7.674249,7.674249,7.674249"
01101001,"2.112520,2.112520,2.112520,2.112520,2.112520,2.112520,2.112520,2.112520,2.112520,2.112520"
01101010,"6.372891,6.372891,6.372891,6.372891,6.372891,6.372891,6.372891,6.372891,6.372891,6.372891"
01101011,"0.811163,0.811163,0.811163,0.811163,0.811163,0.811163,0.811163,0.811163,0.811163,0.811163"
01101100,"-2.646931,-2.646931,-2.646931,-2.646931,-2.646931,-2.646931,-2.646931,-2.646931,-2.646931,-2.646931"
01101101,"-8.208660,-8.208660,-8.208660,-8.208660,-8.208660,-8.208660,-8.208660,-8.208660,-8.208660,-8.208660"
01101110,"-3.948289,-3.948289,-3.948289,-3.948289,-3.948289,-3.948289,-3.948289,-3.948289,-3.948289,-3.948289"
01101111,"-9.510017,-9.510017,-9.510017,-9.510017,-9.510017,-9.510017,-9.510017,-9.510017,-9.510017,-9.510017"
01110000,"0.291079,0.291079,0.291079,0.291079,0.291079,0.291079,0.291079,0.291079,0.291079,0.291079"
01110001,"-5.270649,-5.270649,-5.270649,-5.270649,-5.270649,-5.270649,-5.270649,-5.270649,-5.270649,-5.270649"
01110010,"-1.010278,-1.010278,-1.010278,-1.010278,-1.010278,-1.010278,-1.010278,-1.010278,-1.010278,-1.010278"
01110011,"-6.572007,-6.572007,-6.572007,-6.572007,-6.572007,-6.572007,-6.572007,-6.572007,-6.572007,-6.572007"
01110100,"-10.030101,-10.030101,-10.030101,-10.030101,-10.030101,-10.030101,-10.030101,-10.030101,-10.030101,-10.030101"
01110101,"-15.591829,-15.591829,-15.591829,-15.591829,-15.591829,-15.591829,-15.591829,-15.591829,-15.591829,-15.591829"
01110110,"-11.331459,-11.331459,-11.331459,-11.331459,-11.331459,-11.331459,-11.331459,-11.331459,-11.331459,-11.331459"
01110111,"-16.893187,-16.893187,-16.893187,-16.893187,-16.893187,-16.893187,-16.893187,-16.893187,-16.893187,-16.893187"
01111000,"-0.603063,-0.603063,-0.603063,-0.603063,-0.603063,-0.603063,-0.603063,-0.603063,-0.603063,-0.603063"
01111001,"-6.164791,-6.164791,-6.164791,-6.164791,-6.164791,-6.164791,-6.164791,-6.164791,-6.164791,-6.164791"
01111010,"-1.904420,-1.904420,-1.904420,-1.904420,-1.904420,-1.904420,-1.904420,-1.904420,-1.904420,-1.904420"
01111011,"-7.466148,-7.466148,-7.466148,-7.466148,-7.466148,-7.466148,-7.466148,-7.466148,-7.466148,-7.466148"
01111100,"-10.924243,-10.924243,-10.924243,-10.924243,-10.924243,-10.924243,-10.924243,-10.924243,-10.924243,-10.924243"
01111101,"-16.485971,-16.485971,-16.485971,-16.485971,-16.485971,-16.485971,-16.485971,-16.485971,-16.485971,-16.485971"
01111110,"-12.225600,-12.225600,-12.225600,-12.225600,-12.225600,-12.225600,-12.225600,-12.225600,-12.225600,-12.225600"
01111111,"-17.787329,-17.787329,-17.787329,-17.787329,-17.787329,-17.787329,-17.787329,-17.787329,-17.787329,-17.787329"
10000000,"17.787329,17.787329,17.787329,17.787329,17.787329,17.787329,17.787329,17.787329,17.787329,17.787329"
10000001,"12.225600,12.225600,12.225600,12.225600,12.225600,12.225600,12.225600,12.225600,12.225600,12.225600"
10000010,"16.485971,16.485971,16.485971,16.485971,16.485971,16.485971,16.485971,16.485971,16.485971,16.485971"
10000011,"10.924243,10.924243,10.924243,10.924243,10.924243,10.924243,10.924243,10.924243,10.924243,10.924243"
10000100,"7.466148,7.466148,7.466148,7.466148,7.466148,7.466148,7.466148,7.466148,7.466148,7.466148"
10000101,"1.904420,1.904420,1.904420,1.904420,1.904420,1.904420,1.904420,1.904420,1.904420,1.904420"
10000110,"6.164791,6.164791,6.164791,6.164791,6.164791,6.164791,6.164791,6.164791,6.164791,6.164791"
10000111,"0.603063,0.603063,0.603063,0.603063,0.603063,0.603063,0.603063,0.603063,0.603063,0.603063"
10001000,"16.893187,16.893187,16.893187,16.893187,16.893187,16.893187,16.893187,16.893187,16.893187,16.893187"
10001001,"11.331459,11.331459,11.331459,11.331459,11.331459,11.331459,11.331459,11.331459,11.331459,11.331459"
10001010,"15.591829,15.591829,15.591829,15.591829,15.591829,15.591829,15.591829,15.591829,15.591829,15.591829"
10001011,"10.030101,10.030101,10.030101,10.030101,10.030101,10.030101,10.030101,10.030101,10.030101,10.030101"
10001100,"6.572007,6.572007,6.572007,6.572007,6.572007,6.572007,6.572007,6.572007,6.572007,6.572007"
10001101,"1.010278,1.010278,1.010278,1.010278,1.010278,1.010278,1.010278,1.010278,1.010278,1.010278"
10001110,"5.270649,5.270649,5.270649,5.270649,5.270649,5.270649,5.270649,5.270649,5.270649,5.270649"
10001111,"-0.291079,-0.291079,-0.291079,-0.291079,-0.291079,-0.291079,-0.291079,-0.291079,-0.291079,-0.291079"
10010000,"9.510017,9.510017,9.510017,9.510017,9.510017,9.510017,9.510017,9.510017,9.510017,9.510017"
10010001,"3.948289,3.948289,3.948289,3.948289,3.948289,3.948289,3.948289,3.948289,3.948289,3.948289"
10010010,"8.208660,8.208660,8.208660,8.208660,8.208660,8.208660,8.208660,8.208660,8.208660,8.208660"
10010011,"2.646931,2.646931,2.646931,2.646931,2.646931,2.646931,2.646931,2.646931,2.646931,2.646931"
10010100,"-0.811163,-0.811163,-0.811163,-0.811163,-0.811163,-0.811163,-0.811163,-0.811163,-0.811163,-0.811163"
10010101,"-6.372891,-6.372891,-6.372891,-6.372891,-6.372891,-6.372891,-6.372891,-6.372891,-6.372891,-6.372891"
10010110,"-2.112520,-2.112520,-2.112520,-2.112520,-2.112520,-2.112520,-2.112520,-2.112520,-2.112520,-2.112520"
10010111,"-7.674249,-7.674249,-7.674249,-7.674249,-7.674249,-7.674249,-7.674249,-7.674249,-7.674249,-7.674249"
10011000,"8.615875,8.615875,8.615875,8.615875,8.615875,8.615875,8.615875,8.615875,8.615875,8.615875"
10011001,"3.054147,3.054147,3.054147,3.054147,3.054147,3.054147,3.054147,3.054147,3.054147,3.054147"
10011010,"7.314518,7.314518,7.314518,7.314518,7.314518,7.314518,7.314518,7.314518,7.314518,7.314518"
10011011,"1.752790,1.752790,1.752790,1.752790,1.752790,1.752790,1.752790,1.752790,1.752790,1.752790"
10011100,"-1.705305,-1.705305,-1.705305,-1.705305,-1.705305,-1.705305,-1.705305,-1.705305,-1.705305,-1.705305"
10011101,"-7.267033,-7.267033,-7.267033,-7.267033,-7.267033,-7.267033,-7.267033,-7.267033,-7.267033,-7.267033"
10011110,"-3.006662,-3.006662,-3.006662,-3.006662,-3.006662,-3.006662,-3.006662,-3.006662,-3.006662,-3.006662"
10011111,"-8.568390,-8.568390,-8.568390,-8.568390,-8.568390,-8.568390,-8.568390,-8.568390,-8.568390,-8.568390"
10100000,"12.410304,12.410304,12.410304,12.410304,12.410304,12.410304,12.410304,12.410304,12.410304,12.410304"
10100001,"6.848576,6.848576,6.848576,6.848576,6.848576,6.848576,6.848576,6.848576,6.848576,6.848576"
10100010,"11.108947,11.108947,11.108947,11.108947,11.108947,11.108947,11.108947,11.108947,11.108947,11.108947"
10100011,"5.547218,5.547218,5.547218,5.547218,5.547218,5.547218,5.547218,5.547218,5.547218,5.547218"
10100100,"2.089124,2.089124,2.089124,2.089124,2.089124,2.089124,2.089124,2.089124,2.089124,2.089124"
10100101,"-3.472604,-3.472604,-3.472604,-3.472604,-3.472604,-3.472604,-3.472604,-3.472604,-3.472604,-3.472604"
10100110,"0.787767,0.787767,0.787767,0.787767,0.787767,0.787767,0.787767,0.787767,0.787767,0.787767"
10100111,"-4.773962,-4.773962,-4.773962,-4.773962,-4.773962,-4.773962,-4.773962,-4.773962,-4.773962,-4.773962"
10101000,"11.516162,11.516162,11.516162,11.516162,11.516162,11.516162,11.516162,11.516162,11.516162,11.516162"
10101001,"5.954434,5.954434,5.954434,5.954434,5.954434,5.954434,5.954434,5.954434,5.954434,5.954434"
10101010,"10.214805,10.214805,10.214805,10.214805,10.214805,10.214805,10.214805,10.214805,10.214805,10.214805"
10101011,"4.653077,4.653077,4.653077,4.653077,4.653077,4.653077,4.653077,4.653077,4.653077,4.653077"
10101100,"1.194982,1.194982,1.194982,1.194982,1.194982,1.194982,1.194982,1.194982,1.194982,1.194982"
10101101,"-4.366746,-4.366746,-4.366746,-4.366746,-4.366746,-4.366746,-4.366746,-4.366746,-4.366746,-4.366746"
10101110,"-0.106375,-0.106375,-0.106375,-0.106375,-0.106375,-0.106375,-0.106375,-0.106375,-0.106375,-0.106375"
10101111,"-5.668103,-5.668103,-5.668103,-5.668103,-5.668103,-5.668103,-5.668103,-5.668103,-5.668103,-5.668103"
10110000,"4.132993,4.132993,4.132993,4.132993,4.132993,4.132993,4.132993,4.132993,4.132993,4.132993"
