"challenge","deltas"
"00000000","13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59,13.59"
"00000001","-10.48,-10.48,-10.48,-10.48,-10.48,-10.48,-10.48,-10.48,-10.48,-10.48"
"00000010","-36.03,-36.03,-36.03,-36.03,-36.03,-36.03,-36.03,-36.03,-36.03,-36.03"
"00000011","40.16,40.16,40.16,40.16,40.16,40.16,40.16,40.16,40.16,40.16"
"00000100","-23.8,-23.8,-23.8,-23.8,-23.8,-23.8,-23.8,-23.8,-23.8,-23.8"
"00000101","28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34"
"00000110","-0.3101,-0.3101,-0.3101,-0.3101,-0.3101,-0.3101,-0.3101,-0.3101,-0.3101,-0.3101"
"00000111","3.374,3.374,3.374,3.374,3.374,3.374,3.374,3.374,3.374,3.374"
"00001000","-24.49,-24.49,-24.49,-24.49,-24.49,-24.49,-24.49,-24.49,-24.49,-24.49"
"00001001","29.13,29.13,29.13,29.13,29.13,29.13,29.13,29.13,29.13,29.13"
"00001010","0.2126,0.2126,0.2126,0.2126,0.2126,0.2126,0.2126,0.2126,0.2126,0.2126"
"00001011","2.841,2.841,2.841,2.841,2.841,2.841,2.841,2.841,2.841,2.841"
"00001100","14.71,14.71,14.71,14.71,14.71,14.71,14.71,14.71,14.71,14.71"
"00001101","-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6,-11.6"
"00001110","-36.89,-36.89,-36.89,-36.89,-36.89,-36.89,-36.89,-36.89,-36.89,-36.89"
"00001111","40.98,40.98,40.98,40.98,40.98,40.98,40.98,40.98,40.98,40.98"
"00010000","18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41,18.41"
"00010001","-15.23,-15.23,-15.23,-15.23,-15.23,-15.23,-15.23,-15.23,-15.23,-15.23"
"00010010","-40.49,-40.49,-40.49,-40.49,-40.49,-40.49,-40.49,-40.49,-40.49,-40.49"
"00010011","44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29,44.29"
"00010100","-28.14,-28.14,-28.14,-28.14,-28.14,-28.14,-28.14,-28.14,-28.14,-28.14"
"00010101","32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15,32.15"
"00010110","3.057,3.057,3.057,3.057,3.057,3.057,3.057,3.057,3.057,3.057"
"00010111","-0.02528,-0.02528,-0.02528,-0.02528,-0.02528,-0.02528,-0.02528,-0.02528,-0.02528,-0.02528"
"00011000","-28.54,-28.54,-28.54,-28.54,-28.54,-28.54,-28.54,-28.54,-28.54,-28.54"
"00011001","32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54,32.54"
