model,k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
LogReg,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.06894860946868589,0.39062499999847416,0.99999999999,100,156,0,0,0.039282226562499994,0.039282226562499994,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.06894860946868589,0.6757812499973602,0.9999999999942197,173,83,0,0,0.0196044921875,0.0196044921875,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.06894860946868589,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.06894860946868589,0.5390624999978944,0.9999999999927537,138,118,0,0,0.0283203125,0.0283203125,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.06894860946868589,0.46484374999818423,0.9999999999915966,119,137,0,0,0.039453125,0.039453125,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.06894860946868589,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.06894860946868589,0.4921874999980774,0.9999999999920635,126,130,0,0,0.0252685546875,0.0252685546875,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.7244265066500061,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.7244265066500061,0.6757812499973602,0.9999999999942197,173,83,0,0,0.0196044921875,0.0196044921875,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.7244265066500061,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.7244265066500061,0.80701754385257,0.6666666666618358,92,22,46,96,0.0283203125,0.005153508771929825,0.023166803728070173
LogReg,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.7244265066500061,0.7837837837626005,0.24369747898954874,29,8,90,129,0.039453125,0.005574324324324325,0.033878800675675676
LogReg,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.7244265066500061,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
LogReg,1,0.1,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.7244265066500061,0.5431034482735211,0.9999999999920635,126,106,0,24,0.0252685546875,0.01993534482758621,0.005333209859913791
LogReg,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.8674358165990883,0.8260869565127599,0.5428571428532654,76,16,64,100,0.026928710937499996,0.009646739130434782,0.017281971807065213
LogReg,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.8674358165990883,0.0,0.0,0,0,100,156,0.039282226562499994,,
LogReg,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.8674358165990883,0.9846938775459965,0.8772727272687397,193,3,27,33,0.0095703125,0.0005102040816326531,0.009060108418367348
LogReg,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.8674358165990883,0.9999999995,0.014492753623083388,2,0,136,118,0.0283203125,0.0,0.0283203125
LogReg,1,0.1,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.8674358165990883,0.0,0.0,0,0,119,137,0.039453125,,
