k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.63343996,0.8571428570204082,0.04347826086925016,6,1,132,117,0.0283203125,0.002678571428571429,0.02564174107142857
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.63343996,0.6666666666222222,0.07633587786201271,10,5,121,120,0.023046875,0.017083333333333332,0.005963541666666669
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.63343996,0.9230769230059171,0.06936416184931003,12,1,161,82,0.019604492187500003,0.007211538461538462,0.01239295372596154
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.63343996,0.89999999991,0.07563025210020478,9,1,110,136,0.03945312499999999,0.01125,0.028203124999999992
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.63343996,0.916666666651389,0.24999999999886366,55,5,165,31,0.0095703125,0.004062499999999999,0.005507812500000001
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.63343996,0.9999999998,0.03968253968222474,5,0,121,130,0.0252685546875,0.0,0.0252685546875
1,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.63343996,0.6666666666111111,0.05714285714244898,8,4,132,112,0.026928710937500003,0.015104166666666667,0.011824544270833336
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.64370155,0.5342465753351473,0.38999999999609997,39,34,61,122,0.039282226562499994,0.0199486301369863,0.019333596425513695
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.64370155,0.3931623931590328,0.35114503816525844,46,71,85,54,0.023046875,0.029861111111111113,-0.006814236111111111
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.64370155,0.6666666666621316,0.566473988436032,98,49,75,34,0.019604492187500003,0.021130952380952382,-0.0015264601934523794
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.64370155,0.4831460674130161,0.7226890756241791,86,92,33,45,0.03945312499999999,0.038974719101123594,0.0004784058988763981
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.64370155,0.8525345622080529,0.8409090909052687,185,32,35,4,0.0095703125,0.01016705069124424,-0.0005967381912442386
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.64370155,0.5327868852415345,0.5158730158689216,65,57,61,73,0.0252685546875,0.027254098360655735,-0.0019855436731557354
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.64370155,0.4411764705849914,0.4285714285683674,60,76,80,40,0.026928710937500003,0.03515625,-0.008227539062499997
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.61798084,0.7160493827072092,0.5799999999941999,58,23,42,133,0.039282226562499994,0.014120370370370372,0.02516185619212962
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.61798084,0.6379310344717598,0.26811594202704264,37,21,101,97,0.0283203125,0.022413793103448276,0.0059065193965517244
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.61798084,0.9305555555426311,0.38728323699198103,67,5,106,78,0.019604492187500003,0.0031250000000000006,0.016479492187500003
