model,k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,1,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.7966666666666666,0.8124999999927455,0.6499999999953572,91,21,49,95,0.026928710937500003,0.011104910714285713,0.01582380022321429
RF,1,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.7966666666666666,0.7471264367730215,0.5158730158689216,65,22,61,108,0.0252685546875,0.010632183908045977,0.014636370779454023
RF,1,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.7966666666666666,0.8924050632854912,0.8150289017293929,141,17,32,66,0.019604492187500003,0.005340189873417721,0.01426430231408228
RF,1,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.7966666666666666,0.9102564102447402,0.5144927536194602,71,7,67,111,0.0283203125,0.004887820512820513,0.023432491987179487
RF,1,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.7966666666666666,0.806666666661289,0.9236641221303538,121,29,10,96,0.023046875,0.0085,0.014546875
RF,1,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.7966666666666666,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,1,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.7966666666666666,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,1,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.72,0.9425287356213502,0.6890756302463102,82,5,37,132,0.03945312499999999,0.0020114942528735636,0.03744163074712643
RF,1,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.72,0.9836065573609245,0.4761904761866969,60,1,66,129,0.0252685546875,0.0003073770491803279,0.024961177638319672
RF,1,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.72,0.9824561403422591,0.6473988439268937,112,2,61,81,0.019604492187500003,0.0002192982456140351,0.019385193941885967
RF,1,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.72,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.003273809523809524,0.025046502976190477
RF,1,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.72,0.999999999990909,0.8396946564821398,110,0,21,125,0.023046875,0.0002840909090909091,0.022762784090909094
RF,1,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.72,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,1,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.72,0.9954751131176676,0.9999999999954546,220,1,0,35,0.0095703125,0.0003959276018099547,0.009174384898190046
RF,1,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.6266666666666667,0.9425287356213502,0.6890756302463102,82,5,37,132,0.03945312499999999,0.0020114942528735636,0.03744163074712643
RF,1,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.6266666666666667,0.9465648854889576,0.8857142857079593,124,7,16,109,0.026928710937500003,0.002290076335877863,0.02463863460162214
RF,1,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.6266666666666667,0.9659863945512519,0.8208092485501688,142,5,31,78,0.019604492187500003,0.0011904761904761904,0.018414015997023813
RF,1,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.6266666666666667,0.813008130074691,0.7246376811541694,100,23,38,95,0.0283203125,0.004776422764227643,0.023543889735772358
RF,1,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.6266666666666667,0.9827586206811831,0.8702290076269449,114,2,17,123,0.023046875,0.0005387931034482759,0.022508081896551724
RF,1,crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.6266666666666667,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,1,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.6266666666666667,0.9909909909865271,0.9999999999954546,220,2,0,34,0.0095703125,0.0014076576576576578,0.008162654842342344
RF,1,crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.62,0.9999999999843749,0.5378151260459006,64,0,55,137,0.03945312499999999,0.0,0.03945312499999999
RF,1,crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.62,0.5857740585749549,0.9999999999928573,140,99,0,17,0.026928710937500003,0.02434623430962343,0.002582476627876574
RF,1,crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.62,0.9888888888779012,0.7063492063436004,89,1,37,129,0.0252685546875,0.0002777777777777778,0.024990776909722224
RF,1,crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.62,0.9428571428436734,0.4782608695617518,66,4,72,114,0.0283203125,0.0023214285714285715,0.02599888392857143
RF,1,crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.62,0.999999999990566,0.8091603053373347,106,0,25,125,0.023046875,5.89622641509434e-05,0.022987912735849058
RF,1,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.62,0.9843749999846191,0.6299999999936999,63,1,37,155,0.039282226562499994,0.00029296875000000004,0.0389892578125
RF,1,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.62,0.9999999999951457,0.9363636363593802,206,0,14,36,0.0095703125,0.0,0.0095703125
RF,1,crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.6333333333333333,0.9999999999878049,0.6890756302463102,82,0,37,137,0.03945312499999999,0.0013719512195121953,0.038081173780487795
RF,1,crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.6333333333333333,0.8561643835557797,0.8928571428507653,125,21,15,95,0.026928710937500003,0.007106164383561643,0.01982254655393836
RF,1,crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.6333333333333333,0.9565217391221171,0.8730158730089443,110,5,16,125,0.0252685546875,0.0009782608695652175,0.024290293817934783
RF,1,crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.6333333333333333,0.979452054787812,0.8265895953709447,143,3,30,80,0.019604492187500003,0.001070205479452055,0.018534286708047947
RF,1,crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.6333333333333333,0.968992248054504,0.9541984732751588,125,4,6,121,0.023046875,0.0008720930232558139,0.022174781976744187
RF,1,crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.6333333333333333,0.9999999999875,0.799999999992,80,0,20,156,0.039282226562499994,0.00140625,0.0378759765625
RF,1,crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.6333333333333333,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,1,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.8966666666666666,0.9425287356213502,0.6890756302463102,82,5,37,132,0.03945312499999999,0.0020114942528735636,0.03744163074712643
RF,1,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.8966666666666666,0.999999999875,0.05714285714244898,8,0,132,116,0.026928710937500003,0.0,0.026928710937500003
RF,1,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.8966666666666666,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
RF,1,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.8966666666666666,0.999999999984127,0.3641618497088777,63,0,110,83,0.019604492187500003,0.0,0.019604492187500003
RF,1,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.8966666666666666,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.003273809523809524,0.025046502976190477
RF,1,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.8966666666666666,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
RF,1,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.8966666666666666,0.9999999999230769,0.0590909090906405,13,0,207,36,0.0095703125,0.0,0.0095703125
RF,1,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.72,0.9224806201478878,0.9999999999915966,119,10,0,127,0.03945312499999999,0.002761627906976744,0.036691497093023245
RF,1,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.72,0.728682170536987,0.6714285714237755,94,35,46,81,0.026928710937500003,0.014777131782945735,0.012151579154554268
RF,1,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.72,0.8101265822682262,0.5079365079324767,64,15,62,115,0.0252685546875,0.006882911392405063,0.018385643295094938
RF,1,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.72,0.8545454545402755,0.8150289017293929,141,24,32,59,0.019604492187500003,0.007007575757575758,0.012596916429924245
RF,1,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.72,0.9714285714146939,0.4927536231848352,68,2,70,116,0.0283203125,0.0031250000000000006,0.0251953125
RF,1,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.72,0.76100628930339,0.9236641221303538,121,38,10,87,0.023046875,0.010809748427672955,0.012237126572327046
RF,1,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.72,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,1,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.5,0.9425287356213502,0.6890756302463102,82,5,37,132,0.03945312499999999,0.0020114942528735636,0.03744163074712643
RF,1,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.5,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937500003,8.223684210526316e-05,0.02684647409539474
RF,1,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.5,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
RF,1,crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.5,0.9824561403422591,0.6473988439268937,112,2,61,81,0.019604492187500003,0.0002192982456140351,0.019385193941885967
RF,1,crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.5,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.003273809523809524,0.025046502976190477
RF,1,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.5,0.999999999990909,0.8396946564821398,110,0,21,125,0.023046875,0.0002840909090909091,0.022762784090909094
