model,k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.6133333333333333,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.6133333333333333,0.9999999999878049,0.8199999999918,82,0,18,156,0.039282226562499994,0.001524390243902439,0.037757836318597554
RF,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.6133333333333333,0.818181818177443,0.884393063578703,153,34,20,49,0.0196044921875,0.00945855614973262,0.010145936037767379
RF,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.6133333333333333,0.6461538461488758,0.6666666666613756,84,46,42,84,0.0252685546875,0.013269230769230766,0.011999323918269234
RF,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.6133333333333333,0.7714285714212245,0.5869565217348772,81,24,57,94,0.0283203125,0.009285714285714286,0.019034598214285714
RF,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.6133333333333333,0.7088607594891845,0.7999999999942857,112,46,28,70,0.026928710937499996,0.014912974683544305,0.01201573625395569
RF,1,0.5,1.0,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.6133333333333333,0.7386363636321669,0.9923664122061652,130,46,1,79,0.023046875,0.010973011363636364,0.012073863636363638
RF,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.8166666666666667,0.881720430098046,0.6890756302463102,82,11,37,126,0.039453125,0.002688172043010753,0.03676495295698925
RF,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.8166666666666667,0.9277108433623167,0.7699999999923,77,6,23,150,0.039282226562499994,0.002259036144578313,0.03702319041792168
RF,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.8166666666666667,0.973913043469792,0.6473988439268937,112,3,61,80,0.0196044921875,0.00038043478260869565,0.019224057404891304
RF,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.8166666666666667,0.9836065573609245,0.4761904761866969,60,1,66,129,0.0252685546875,0.0003073770491803279,0.024961177638319672
RF,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.8166666666666667,0.8133333333224888,0.4420289855040433,61,14,77,104,0.0283203125,0.00475,0.0235703125
RF,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.8166666666666667,0.9999999999743591,0.2785714285694388,39,0,101,116,0.026928710937499996,0.0,0.026928710937499996
RF,1,0.5,1.0,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.8166666666666667,0.9649122806932902,0.8396946564821398,110,4,21,121,0.023046875,0.0007127192982456142,0.02233415570175439
RF,1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.6333333333333333,0.8623188405734615,0.9999999999915966,119,19,0,118,0.039453125,0.005615942028985507,0.03383718297101449
RF,1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.6333333333333333,0.9954751131176676,0.9999999999954546,220,1,0,35,0.0095703125,0.0003959276018099547,0.009174384898190046
RF,1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.6333333333333333,0.8010471204146542,0.884393063578703,153,38,20,45,0.0196044921875,0.009751308900523559,0.00985318328697644
RF,1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.6333333333333333,0.5826771653497427,0.5873015872969262,74,53,52,77,0.0252685546875,0.016141732283464567,0.009126822404035433
RF,1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.6333333333333333,0.7008547008487106,0.5942028985464188,82,35,56,83,0.0283203125,0.012339743589743591,0.01598056891025641
RF,1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_6.csv,0.6333333333333333,0.6729559748385349,0.7642857142802552,107,52,33,64,0.026928710937499996,0.018081761006289308,0.008846949931210688
RF,1,0.5,1.0,crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.6333333333333333,0.6951871657716835,0.9923664122061652,130,57,1,68,0.023046875,0.013469251336898394,0.009577623663101607
RF,1,0.5,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.6033333333333334,0.9999999999843749,0.5378151260459006,64,0,55,137,0.039453125,0.0,0.039453125
RF,1,0.5,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.6033333333333334,0.9999999999951457,0.9363636363593802,206,0,14,36,0.0095703125,0.0,0.0095703125
RF,1,0.5,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.6033333333333334,0.9843749999846191,0.6299999999936999,63,1,37,155,0.039282226562499994,0.00029296875000000004,0.0389892578125
RF,1,0.5,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.6033333333333334,0.925531914883771,0.6904761904707105,87,7,39,123,0.0252685546875,0.001595744680851064,0.023672810006648937
RF,1,0.5,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.6033333333333334,0.8918918918798393,0.4782608695617518,66,8,72,110,0.0283203125,0.0029560810810810812,0.025364231418918918
RF,1,0.5,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.6033333333333334,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937499996,0.026928710937499996,0.0
RF,1,0.5,1.0,crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.6033333333333334,0.9464285714201212,0.8091603053373347,106,6,25,119,0.023046875,0.002232142857142857,0.020814732142857145
RF,1,0.5,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.84,0.9999999999803922,0.4285714285678271,51,0,68,137,0.039453125,0.0008578431372549021,0.0385952818627451
RF,1,0.5,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.84,0.99999999975,0.01818181818173554,4,0,216,36,0.0095703125,0.0,0.0095703125
RF,1,0.5,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.84,0.9999999999830509,0.5899999999941,59,0,41,156,0.039282226562499994,0.0012711864406779662,0.03801104012182203
RF,1,0.5,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.84,0.9999999999791668,0.27745664739724013,48,0,125,83,0.0196044921875,0.00013020833333333333,0.019474283854166666
RF,1,0.5,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.84,0.9009900990009803,0.6594202898502941,91,10,47,108,0.0283203125,0.003589108910891089,0.02473120358910891
RF,1,0.5,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.84,0.9333333333022222,0.19999999999857143,28,2,112,114,0.026928710937499996,0.0025,0.024428710937499997
RF,1,0.5,1.0,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.84,0.999999999984127,0.48091603053068005,63,0,68,125,0.023046875,0.0,0.023046875
RF,1,0.5,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.6166666666666667,0.5857142857101021,0.6890756302463102,82,58,37,79,0.039453125,0.04151785714285714,-0.0020647321428571425
RF,1,0.5,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.6166666666666667,0.9999999999954129,0.9909090909045868,218,0,2,36,0.0095703125,0.0003440366972477065,0.009226275802752294
RF,1,0.5,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.6166666666666667,0.8504672897116778,0.9099999999909,91,16,9,140,0.039282226562499994,0.006016355140186916,0.033265871422313076
RF,1,0.5,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.6166666666666667,0.838028169008183,0.6878612716723246,119,23,54,60,0.0196044921875,0.009154929577464787,0.010449562610035212
RF,1,0.5,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.6166666666666667,0.8494623655822638,0.6269841269791508,79,14,47,116,0.0252685546875,0.004233870967741936,0.021034683719758064
RF,1,0.5,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.6166666666666667,0.6216216216160214,0.4928571428536225,69,42,71,74,0.026928710937499996,0.019707207207207207,0.007221503730292789
RF,1,0.5,1.0,crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.6166666666666667,0.8584070796384211,0.7404580152615233,97,16,34,109,0.023046875,0.006526548672566371,0.01652032632743363
RF,1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_2.csv,0.7366666666666667,0.9213483145963893,0.6890756302463102,82,7,37,130,0.039453125,0.0022471910112359553,0.037205933988764046
RF,1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_7.csv,0.7366666666666667,0.9909909909865271,0.9999999999954546,220,2,0,34,0.0095703125,0.00045045045045045046,0.00911986204954955
RF,1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.7366666666666667,0.9746835442914596,0.7699999999923,77,2,23,154,0.039282226562499994,0.001661392405063291,0.0376208341574367
RF,1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_3.csv,0.7366666666666667,0.9831932773026623,0.6763005780307729,117,2,56,81,0.0196044921875,0.0002100840336134454,0.019394408153886555
RF,1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_1.csv,0.7366666666666667,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
RF,1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_8.csv,0.7366666666666667,0.9242424242284205,0.4420289855040433,61,5,77,113,0.0283203125,0.0036931818181818185,0.024627130681818182
RF,1,0.5,1.0,crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.7366666666666667,0.9745762711781816,0.8778625954131462,115,3,16,122,0.023046875,0.0005826271186440678,0.022464247881355932
RF,1,0.5,1.0,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.76,0.9425287356213502,0.6890756302463102,82,5,37,132,0.039453125,0.0020114942528735636,0.037441630747126434
