k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.7221778,0.5321888411994327,0.9465648854889576,124,109,7,16,0.023046875,0.022451716738197427,0.0005951582618025746
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.7221778,0.8553459119443061,0.7861271676255137,136,23,37,60,0.019604492187500003,0.008136792452830189,0.011467699734669814
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.7221778,0.5390624999978944,0.9999999999927537,138,118,0,0,0.0283203125,0.0283203125,0.0
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.7221778,0.46484374999818423,0.9999999999915966,119,137,0,0,0.03945312499999999,0.03945312499999999,0.0
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.7221778,0.4921874999980774,0.9999999999920635,126,130,0,0,0.0252685546875,0.0252685546875,0.0
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.7221778,0.7484276729512678,0.8499999999939286,119,40,21,76,0.026928710937500003,0.013561320754716982,0.013367390182783021
1,crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.7221778,0.39062499999847416,0.99999999999,100,156,0,0,0.039282226562499994,0.039282226562499994,0.0
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.7687978,0.9999999999937889,0.7318181818148554,161,0,59,36,0.0095703125,0.00038819875776397513,0.009182113742236025
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.7687978,0.9823008849470592,0.6416184971061178,111,2,62,81,0.019604492187500003,0.00022123893805309737,0.019383253249446904
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.7687978,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.003273809523809524,0.025046502976190477
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.7687978,0.9425287356213502,0.6890756302463102,82,5,37,132,0.03945312499999999,0.0020114942528735636,0.03744163074712643
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_1.csv,0.7687978,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_6.csv,0.7687978,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937500003,8.223684210526316e-05,0.02684647409539474
1,crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.7687978,0.9999999999870129,0.7699999999923,77,0,23,156,0.039282226562499994,0.0013798701298701301,0.03790235643262987
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_7.csv,0.6207204,0.9636363636319836,0.9636363636319836,212,8,8,28,0.0095703125,0.0011079545454545457,0.008462357954545455
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_4.csv,0.6207204,0.756944444439188,0.8320610686959385,109,35,22,90,0.023046875,0.010156249999999999,0.012890625000000003
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_8.csv,0.6207204,0.7804878048590126,0.2318840579693342,32,9,106,109,0.0283203125,0.005487804878048781,0.022832507621951218
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_2.csv,0.6207204,0.3499999999941667,0.17647058823381118,21,39,98,98,0.03945312499999999,0.058645833333333335,-0.019192708333333343
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_1.csv,0.6207204,0.8446601941665567,0.6904761904707105,87,16,39,114,0.0252685546875,0.0045509708737864075,0.020717583813713594
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_6.csv,0.6207204,0.6368159203948417,0.9142857142791837,128,73,12,43,0.026928710937500003,0.01890547263681592,0.008023238300684084
1,crp_dataset_8_1_3.csv,crp_dataset_8_1_5.csv,0.6207204,0.9999999996666666,0.0299999999997,3,0,97,156,0.039282226562499994,0.0,0.039282226562499994
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.6703724,0.0,0.0,0,0,220,36,0.0095703125,,
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.6703724,0.9622641509252403,0.38931297709626483,51,2,80,123,0.023046875,0.0014150943396226414,0.02163178066037736
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.6703724,0.6666666666444444,0.11560693641551673,20,10,153,73,0.019604492187500003,0.01625,0.0033544921875000022
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.6703724,0.3174603174577979,0.33613445377868795,40,86,79,51,0.03945312499999999,0.06101190476190477,-0.021558779761904776
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_1.csv,0.6703724,0.9999999999687501,0.25396825396623834,32,0,94,130,0.0252685546875,0.0,0.0252685546875
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.6703724,0.599999999976,0.10714285714209185,15,10,125,106,0.026928710937500003,0.02025,0.006678710937500002
1,crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.6703724,0.392670157066007,0.7499999999925,75,116,25,40,0.039282226562499994,0.04375,-0.004467773437500003
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.7091818,0.8593749999966431,0.9999999999954546,220,36,0,0,0.0095703125,0.0095703125,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.7091818,0.5117187499980012,0.9999999999923664,131,125,0,0,0.023046875,0.023046875,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.7091818,0.6757812499973602,0.9999999999942197,173,83,0,0,0.019604492187500003,0.019604492187500003,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.7091818,0.4971428571400164,0.6304347826041273,87,88,51,30,0.0283203125,0.037,-0.008679687499999998
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.7091818,0.5206611570226419,0.9999999999920635,126,116,0,14,0.0252685546875,0.021823347107438017,0.0034452075800619833
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.7091818,0.5468749999978638,0.9999999999928573,140,116,0,0,0.026928710937500003,0.026928710937500003,0.0
1,crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.7091818,0.8645833333243272,0.8299999999916999,83,13,17,143,0.039282226562499994,0.004557291666666667,0.03472493489583333
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_7.csv,0.7104309,0.8645418326658784,0.9863636363591529,217,34,3,2,0.0095703125,0.009063745019920319,0.000506567480079682
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_4.csv,0.7104309,0.8230088495502388,0.7099236641167181,93,20,38,105,0.023046875,0.006913716814159292,0.01613315818584071
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_3.csv,0.7104309,0.8321167883150941,0.6589595375684454,114,23,59,60,0.019604492187500003,0.009854014598540147,0.009750477588959855
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_8.csv,0.7104309,0.7981651376073563,0.6304347826041273,87,22,51,96,0.0283203125,0.00521788990825688,0.02310242259174312
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_2.csv,0.7104309,0.9999999999615384,0.21848739495614716,26,0,93,137,0.03945312499999999,0.0009615384615384616,0.038491586538461534
1,crp_dataset_8_1_1.csv,crp_dataset_8_1_6.csv,0.7104309,0.8139534883657834,0.749999999994643,105,24,35,92,0.026928710937500003,0.009350775193798452,0.01757793574370155
